country,date,GDP,HouseholdsExpenditurePerecent,FDIInflows,Gov,Exports,Imports
Finland,1991,127773856785.767,53.1778271326482,-0.182278447064837,23.9128183293248,21.2695197873393,22.2188978008953
Finland,1990,141438345513.917,50.0555195197836,0.574223938542368,20.8709418529227,22.1462417132994,23.6952912850845
France,2017,2586285406561.51,54.0080599094665,1.45225128378182,23.6844914496901,30.8198947044155,31.8781663074173
France,2016,2471285607081.72,54.2632945546117,1.32739278028377,23.7323807174966,30.2475371833945,30.852605198715
France,2015,2438207896251.84,54.0462475073143,1.75642996529439,23.8078776145908,30.5926223781313,31.1590715564548
France,2014,2852165760630.27,54.3097036187676,0.203525272366494,24.1258928301466,29.666684498073,30.8121120215465
France,2013,2811077725703.59,54.6356985606859,1.12374280873532,24.1116877142286,29.3647378670492,30.3993172078638
France,2012,2683825225092.63,54.7188726180149,1.22752640558907,23.9504999032939,29.2030271868495,30.499031981938
France,2011,2861408170264.61,54.9824642714693,1.54489707501224,23.744527827615,28.4213374764194,30.369238945981
France,2010,2642609548930.36,55.3556903285689,1.47163016303539,23.9892566941431,26.7882998402738,28.0794912416196
France,2009,2690222283967.77,55.3774435531098,0.684810625936121,24.0808047006283,24.8355472102672,25.6269036398058
France,2008,2918382891460.38,54.4659151366707,2.32997003593818,22.5625633664261,28.1193848563025,29.2776980294924
France,2007,2657213249384.07,54.1162896114064,3.15283684570179,22.4331396546751,27.853257510199,28.5674990728149
France,2006,2318593651988.46,54.2364233225532,3.40538557579591,22.7591793094828,27.9350550901956,28.16836935943
France,2005,2196126103718.44,54.3948853420767,3.87669277220017,23.0670392801425,27.0330510418171,26.947655734595
France,2004,2115742488204.62,54.0529771088233,1.68302787373188,23.0446960978721,26.4688363216607,25.4561715567725
France,2003,1840480812641.08,54.2444007540477,2.30107265381256,23.143427286765,26.1119689746398,24.6858645485955
France,2002,1494286655373.61,53.9731293483114,3.44983900300987,22.7211494436744,27.5310502579308,25.5409745004028
France,2001,1376465324384.79,54.1207905343908,3.6428127196957,22.1418541151996,28.2658952021844,26.6934728903914
France,2000,1362248940482.77,53.8573703912863,3.03829068496787,22.3258723712198,28.5949742490286,27.2662714690058
France,1999,1492647560196.04,53.6130289886003,3.07984400993161,22.6309940264054,26.0765353865349,23.6843852136939
France,1998,1503108739159.44,53.9580707391693,1.96382525516541,22.6152011693207,26.1264919786729,23.380274814039
France,1997,1452884917959.09,54.1341623497324,1.5863558407043,23.4009423125566,25.52319541576,22.5103014673064
France,1996,1605675086549.56,55.1260674648996,1.36838946976613,23.4696941384658,23.055564872,21.2736750818117
France,1995,1601094756209.75,54.7104795066459,1.48250444153683,23.1766607320363,22.6229260600867,21.0232025170056
France,1994,1393982750472.59,55.0019620855571,1.13323678428811,23.1862574341006,21.6603227312909,20.1659170058998
France,1993,1322815612694.0,55.3675229989169,1.56892947410949,23.4090318084193,20.7925794072246,19.1125443145592
France,1992,1401465923172.24,55.111261619317,1.55833266381818,22.2592205187876,21.3305593452775,20.6610532607475
France,1991,1269276828275.78,55.0567231990327,1.1938090850068,21.655025854054,21.3348844239057,21.6487970651412
